case,instance,scaffold,correct,valid,seconds,response_head
fold1_txt,0,bare,0,0,0.97,"(3,4);(3,5)"
fold1_txt,0,self_consist,0,0,1.02,"(row=2, col=2);(row=3, col=2)"
fold1_txt,0,verifier_guided,0,1,3.29,"(3,4);(2,2)"
fold1_txt,0,whiteboard,0,1,0.33,"(3,2);(4,2)"
fold1_txt,1,bare,0,1,0.31,"(2,1);(2,2)"
fold1_txt,1,self_consist,0,1,0.87,"(1,1);(1,2)"
fold1_txt,1,verifier_guided,0,1,3.26,"(2,1);(2,3)"
fold1_txt,1,whiteboard,0,1,0.34,"(2,1);(3,1)"
fold1_txt,2,bare,0,1,0.25,"(2,1);(2,2)"
fold1_txt,2,self_consist,1,1,0.84,"(1,1);(2,1)"
fold1_txt,2,verifier_guided,1,1,0.66,"(1,1);(2,1)"
fold1_txt,2,whiteboard,0,1,0.35,"(2,1);(3,1)"
fold1_txt,3,bare,0,1,0.25,"(2,2)"
fold1_txt,3,self_consist,0,1,1.3,"(row=1, col=2);(2,2)"
fold1_txt,3,verifier_guided,1,1,1.82,"(1,2);(2,2)"
fold1_txt,3,whiteboard,0,1,0.34,"(2,1);(3,1)"
fold1_txt,4,bare,0,1,0.45,"(3,0);(3,1);(3,2);(3,3)"
fold1_txt,4,self_consist,0,1,0.98,"(1,0);(2,0);(3,0)"
fold1_txt,4,verifier_guided,0,0,4.17,"(row=0, col=4);(row=1, col=4);(row=2, col=4);(row=3, col=4)"
fold1_txt,4,whiteboard,0,1,0.34,"(3,0);(2,1)"
fold1_txt,5,bare,0,1,0.34,"(2,3);(3,3)"
fold1_txt,5,self_consist,0,1,0.88,"(2,3);(3,3)"
fold1_txt,5,verifier_guided,0,0,3.33,"(2,4);(3,4)"
fold1_txt,5,whiteboard,0,1,0.34,"(2,3);(1,4)"
fold1_txt,6,bare,0,0,0.43,"(row=1, col=3);(row=2, col=3)"
fold1_txt,6,self_consist,0,1,0.88,"(1,1);(2,1)"
fold1_txt,6,verifier_guided,0,0,4.2,"(row=2, col=3);(row=3, col=3)"
fold1_txt,6,whiteboard,0,1,0.34,"(3,2);(3,1)"
fold1_txt,7,bare,0,0,0.33,"(1,4);(2,4)"
fold1_txt,7,self_consist,0,0,0.86,"(1,4)"
fold1_txt,7,verifier_guided,0,0,3.91,"(row=2, col=1);(row=3, col=1)"
fold1_txt,7,whiteboard,0,1,0.34,"(1,2);(2,2)"
fold1_txt,8,bare,0,1,0.34,"(3,1);(4,1)"
fold1_txt,8,self_consist,0,0,1.21,"(row=1, col=4);(row=2, col=4)"
fold1_txt,8,verifier_guided,0,1,3.79,"(3,1)"
fold1_txt,8,whiteboard,0,1,0.34,"(3,1);(2,1)"
fold1_txt,9,bare,0,1,0.33,"(2,3);(3,3)"
fold1_txt,9,self_consist,0,0,0.87,"(2,4)"
fold1_txt,9,verifier_guided,0,0,3.46,"(2,4);(3,4)"
fold1_txt,9,whiteboard,0,1,0.34,"(2,3);(1,4)"
