task,scaffold,K,instance,correct,valid,seconds,response_head
maze,verifier_guided,64,20,0,1,26.82,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,64,21,0,1,20.73,"R,D,L,L,U,L"
maze,verifier_guided,64,22,0,1,21.5,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,64,23,0,1,22.43,"R,R,U,U,L,L"
maze,verifier_guided,64,24,0,1,19.55,"R,R,R,U,U,L,L,L,D,D,R,R"
maze,verifier_guided,64,25,0,1,20.57,"R,R,R,U,U,L,U,L,L,R,R,L,L"
maze,verifier_guided,64,26,0,1,19.22,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,64,27,0,1,19.55,"R,R,R,U,U,L,L,L,D,D"
maze,verifier_guided,64,28,0,1,20.1,"R,L,L,D,D"
maze,verifier_guided,64,29,0,1,20.09,"R,R,R,U,U,L,L,L,U,R,R,L,L"
maze,verifier_guided,64,30,0,1,20.07,"R,R,R,U,U,L,L,L,L,R,R,R,U,U,L,L,L,L"
maze,verifier_guided,64,31,0,1,19.27,"R,R,R,U,U,L,U,L,R"
maze,verifier_guided,64,32,0,1,21.25,"R,R,R,U,U,L,L,L,L,R,R,R,U,U,D,D,D,D"
maze,verifier_guided,64,33,0,1,19.08,"R,D,L,L,U,L"
maze,verifier_guided,64,34,0,1,19.03,"R,R,R,U,U,L,L,L,U,R,U,R,U"
maze,verifier_guided,64,35,0,1,28.49,"R,R,R,U,U,L,L,L,L,U,R,R,U,R,U,R,L,L,L,L,D,D"
maze,verifier_guided,64,36,0,1,20.38,"R,R,R,D,L,U,L,L,R"
maze,verifier_guided,64,37,0,1,20.02,"R,R,R,U,U,L,L,L,U,R,U,R,R"
maze,verifier_guided,64,38,0,1,132.35,"R,R,R,D,L,L,U,U,R,R"
maze,verifier_guided,64,39,0,1,90.44,"R,R,R,U,U,L,L,L,R,R,U,U,L,L,L,L,R,R"
maze,verifier_guided,64,40,0,1,146.36,"R,R,R,D,L,U,L,L,R"
maze,verifier_guided,64,41,0,1,106.99,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,64,42,0,1,200.2,"R,R,R,U,U,L,L,L,U,R,R,L,L,L,D,D"
maze,verifier_guided,64,43,0,1,572.03,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,64,44,0,1,101.91,"R,R,R,U,U,L,L,L,U,U,L,L"
maze,verifier_guided,64,45,0,1,22.08,"R,R,R,U,U,L,U,U,L"
maze,verifier_guided,64,46,0,1,20.7,"R,R,R,D,D,L,U,U,R"
maze,verifier_guided,64,47,0,1,25.13,"R,R,R,U,U,L,L,L,R,R,U,U,L,R,R"
maze,verifier_guided,64,48,0,1,21.16,"R,R,R,U,U,L,U,L,L,L,U,R,R,R,U"
maze,verifier_guided,64,49,0,1,19.7,"R,D,L,L,U,R"
