task,scaffold,K,instance,correct,valid,seconds,response_head
fold1,best_partial,4,0,0,1,2.94,"(1, 2);(3, 2)"
fold1,best_partial,4,1,0,1,1.19,"(1,4);(2,1)"
fold1,best_partial,4,2,0,1,1.05,"(row=2, col=1);(2,1)"
fold1,best_partial,4,3,0,0,1.12,"(row=3, col=1);(row=3, col=2)"
fold1,best_partial,4,4,0,0,1.25,"(row=1, col=0);(row=2, col=4)"
fold1,best_partial,4,5,0,1,1.4,"(1,3);(2,3)"
fold1,best_partial,4,6,0,0,1.22,"(row=3,col=4);(col=3)"
fold1,best_partial,4,7,0,1,1.01,"(0,2);(1,2)"
fold1,best_partial,4,8,0,0,1.01,"(row=1, col=4);(row=2, col=4)"
fold1,best_partial,4,9,0,1,0.99,"(2,3)"
fold1,best_partial,4,10,0,0,1.29,"(row=1, col=1);(row=2, col=1)"
fold1,best_partial,4,11,0,0,1.27,"(row=0, col=4);(row=1, col=3);(row=2, col=2);(row=3, col=1)"
fold1,best_partial,4,12,0,1,0.96,"(2,2)"
fold1,best_partial,4,13,0,1,1.29,"(row=0, col=1);(1,1);(2,2)"
fold1,best_partial,4,14,0,1,1.17,"(2, 3);(3, 2)"
fold1,best_partial,4,15,1,1,0.97,"(1,0);(2,0)"
fold1,best_partial,4,16,0,1,1.01,"(2,3);(3,3)"
fold1,best_partial,4,17,0,1,0.85,"(2,2)"
fold1,best_partial,4,18,0,1,0.96,"(1,4);(2,1)"
fold1,best_partial,4,19,0,1,1.1,"(2,1)"
fold1,best_partial,16,0,0,0,3.89,"(3,4);(3,5)"
fold1,best_partial,16,1,0,1,3.93,"(1,4);(2,1)"
fold1,best_partial,16,2,0,1,3.37,"(1,1)"
fold1,best_partial,16,3,1,1,4.07,"(1,2);(2,2)"
fold1,best_partial,16,4,0,1,3.78,"(3,0)"
fold1,best_partial,16,5,0,1,3.38,"(2,3)"
fold1,best_partial,16,6,0,1,3.69,"(3,3)"
fold1,best_partial,16,7,0,1,4.21,"(1,1);(1,4)"
fold1,best_partial,16,8,0,1,4.22,"(3,1);(4,1)"
fold1,best_partial,16,9,0,1,3.28,"(2,3)"
fold1,best_partial,16,10,0,1,3.56,"(3,2)"
fold1,best_partial,16,11,0,1,3.57,"(3,3)"
fold1,best_partial,16,12,0,1,3.78,"(2,1);(3,1);(2,2)"
fold1,best_partial,16,13,0,1,3.6,"(2,2)"
fold1,best_partial,16,14,0,1,4.05,"(2,3)"
fold1,best_partial,16,15,0,1,3.3,"(2,0)"
fold1,best_partial,16,16,0,1,4.1,"(3,3);(4,3)"
fold1,best_partial,16,17,0,1,3.5,"(2,0);(2,1);(2,2);(2,3)"
fold1,best_partial,16,18,1,1,3.69,"(1,1);(2,1)"
fold1,best_partial,16,19,0,1,3.48,"(1,4);(2,1)"
fold1,best_partial,64,0,1,1,14.93,"(3,1);(3,2)"
fold1,best_partial,64,1,1,1,14.72,"(1,1);(2,1)"
fold1,best_partial,64,2,1,1,14.57,"(1,1);(2,1)"
fold1,best_partial,64,3,1,1,16.26,"(1,2);(2,2)"
fold1,best_partial,64,4,1,1,16.82,"(0,0);(3,0)"
fold1,best_partial,64,5,0,1,14.34,"(2,4);(2,3)"
fold1,best_partial,64,6,0,1,16.87,"(3,3)"
fold1,best_partial,64,7,0,1,14.45,"(1,2);(1,4)"
fold1,best_partial,64,8,0,1,15.9,"(3,1)"
fold1,best_partial,64,9,0,1,14.07,"(2,3)"
fold1,best_partial,64,10,0,1,15.98,"(0,2);(1,2);(2,2);(3,2)"
fold1,best_partial,64,11,0,1,14.59,"(3,3);(3,4)"
fold1,best_partial,64,12,0,1,15.46,"(2,4);(2,3);(2,2);(2,1)"
fold1,best_partial,64,13,0,1,15.65,"(2,2)"
fold1,best_partial,64,14,1,1,15.47,"(1,3);(2,3)"
fold1,best_partial,64,15,1,1,15.01,"(1,0);(2,0)"
fold1,best_partial,64,16,0,1,15.67,"(3,3);(4,3)"
fold1,best_partial,64,17,1,1,15.67,"(2,1);(2,2)"
fold1,best_partial,64,18,1,1,14.65,"(1,1);(2,1)"
fold1,best_partial,64,19,1,1,15.72,"(1,1);(2,1)"
