task,scaffold,K,instance,correct,valid,seconds,response_head
maze,verifier_guided,1,0,0,1,3.79,"R,R,R,U,U,L,L,L,U,R,R"
maze,verifier_guided,1,1,0,1,0.52,"R,R,R,D,D,L,U,U,L,L"
maze,verifier_guided,1,2,0,1,0.68,"R,R,R,U,U,L,L,L,U,U"
maze,verifier_guided,1,3,0,1,0.57,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,1,4,0,1,0.42,"R,R,R,U,U,L,L,L,L,R,R,D,D,D"
maze,verifier_guided,1,5,0,1,0.51,"R,R,R,U,U,L,U,U,L"
maze,verifier_guided,1,6,0,1,0.49,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,1,7,0,1,0.29,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,1,8,0,1,0.35,"R,R,R,U,U,L,L,L,D,D"
maze,verifier_guided,1,9,0,1,0.55,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,1,10,0,1,0.51,"R,R,R,D,L,U,U,L,R"
maze,verifier_guided,1,11,0,1,0.51,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,1,12,0,1,0.56,"R,R,R,U,U,L,L,L,L,U,R,R,R,U,R,U,R,L,L,L,L"
maze,verifier_guided,1,13,0,1,0.55,"R,R,R,U,U,L,L,L,L,R,R"
maze,verifier_guided,1,14,0,1,0.45,"R,R,U,R,R,U"
maze,verifier_guided,1,15,0,1,0.51,"R,R,R,D,L,U,L,L,R"
maze,verifier_guided,1,16,0,1,0.31,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,1,17,0,1,0.53,"R,R,R,U,U,L,L,L,D,D"
maze,verifier_guided,1,18,0,1,0.49,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,1,19,0,1,0.63,"R,R,R,U,U,L,L,D,D,L,R,L,R,L,R"
maze,verifier_guided,4,0,0,1,1.61,"R,R,R,U,U,L,L,L,U,R,R,L,L"
maze,verifier_guided,4,1,0,1,1.39,"R,R,R,U,U,L,U,L,R"
maze,verifier_guided,4,2,0,1,1.26,"R,R,R,U,U,L,U,L,L"
maze,verifier_guided,4,3,0,1,1.43,"R,R,R,U,U,L,U,L,L"
maze,verifier_guided,4,4,0,1,1.36,"R,R,R,U,U,L,L,L,L,R,R"
maze,verifier_guided,4,5,0,1,1.66,"R,R,U,U,L,R,R,U,L,L,U,U"
maze,verifier_guided,4,6,0,1,1.33,"R,R,R,D,D,L,U,U,R"
maze,verifier_guided,4,7,0,1,1.29,"R,R,R,U,U,L,L,L,D,D"
maze,verifier_guided,4,8,0,1,1.42,"R,R,R,D,L,U,L,L,R"
maze,verifier_guided,4,9,0,1,1.36,"R,R,R,U,U,L,U,R"
maze,verifier_guided,4,10,0,1,1.43,"R,R,R,D,D,L,U,U,L,L"
maze,verifier_guided,4,11,0,1,1.29,"R,R,U,R,R"
maze,verifier_guided,4,12,0,1,1.58,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,4,13,0,1,1.98,"R,D,L,L,U,R"
maze,verifier_guided,4,14,0,1,1.47,"R,R,R,U,U,L,L,L,L,R,R,R,U,U"
maze,verifier_guided,4,15,0,1,1.44,"R,R,R,U,U,L,U,L,L"
maze,verifier_guided,4,16,0,1,1.31,"R,R,R,U,U,L,L,L,L,U,U,R,R"
maze,verifier_guided,4,17,0,1,1.35,"R,R,R,U,U,L,L,L,U,U,L,R,R,L,L,L,U,U,R,R,R"
maze,verifier_guided,4,18,0,1,1.32,"R,R,R,U,U,L,L,L,U,R,R,L,L"
maze,verifier_guided,4,19,0,1,1.58,"R,R,R,U,U,L,L,L,U,U"
maze,verifier_guided,16,0,0,1,4.83,"R,R,R,U,U,L,L,L,L,U,R,R,R,U"
maze,verifier_guided,16,1,0,1,5.04,"R,D,L,L,U,R"
maze,verifier_guided,16,2,0,1,4.97,"R,R,R,D,L,U,L,R,R"
maze,verifier_guided,16,3,0,1,5.93,"R,R,R,D,D,L,U,U,L,L"
maze,verifier_guided,16,4,0,1,4.95,"R,D,L,L,U,R"
maze,verifier_guided,16,5,0,1,5.57,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,16,6,0,1,5.34,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,16,7,0,1,4.78,"R,R,R,U,U,L,U,L,L,U,R,R,L,U"
maze,verifier_guided,16,8,0,1,5.07,"R,R,R,U,U,L,U"
maze,verifier_guided,16,9,0,1,4.77,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,16,10,0,1,4.97,"R,R,R,U,U,L,L,L,D,D"
maze,verifier_guided,16,11,0,1,4.77,"R,R,U,U,L,L"
maze,verifier_guided,16,12,0,1,4.93,"R,R,R,U,U,L,L,L,U,R,R,L,L,L,U,U"
maze,verifier_guided,16,13,0,1,5.61,"R,R,R,U,U,L,L,L,U,L,L,R,R,R,U,R,D,D,D"
maze,verifier_guided,16,14,0,1,4.91,"R,R,R,D,L,U,L,L,R"
maze,verifier_guided,16,15,0,1,5.21,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,16,16,0,1,4.19,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,16,17,0,1,4.94,"R,R,R,U,U,L,L,L,U,R,R,U,R,R"
maze,verifier_guided,16,18,0,1,5.32,"R,D,L,L,U,L"
maze,verifier_guided,16,19,0,1,4.44,"R,R,U,R,R,U"
maze,verifier_guided,64,0,0,1,20.42,"R,R,R,U,U,L,L,D,D"
maze,verifier_guided,64,1,0,1,21.13,"R,R,R,U,U,L,U"
maze,verifier_guided,64,2,0,1,20.74,"R,R,U,U,L,L"
maze,verifier_guided,64,3,0,1,20.3,"R,R,R,U,U,L,L,D,D,L,L,R,R"
maze,verifier_guided,64,4,0,1,19.35,"R,R,R,D,L,U,L,L,R"
maze,verifier_guided,64,5,0,1,20.44,"R,R,U,U,L,L"
maze,verifier_guided,64,6,0,1,20.17,"R,D,L,L,U,L"
maze,verifier_guided,64,7,0,1,21.52,"R,D,L,L,U,L"
maze,verifier_guided,64,8,0,1,21.02,"R,R,R,U,U,L,L,L,D,D"
maze,verifier_guided,64,9,0,1,20.88,"R,R,R,U,U,L,L,L,L,U,R,R,R,R,U"
maze,verifier_guided,64,10,0,1,19.82,"R,R,R,U,U,L,L,L,U,R,R,L,L"
maze,verifier_guided,64,11,0,1,20.18,"R,R,U,U,L,L,U,U,R,R"
maze,verifier_guided,64,12,0,1,20.66,"R,R,R,U,U,L,L,L,U,R,U"
maze,verifier_guided,64,13,0,1,19.34,"R,R,R,U,U,L,U,L,L"
maze,verifier_guided,64,14,0,1,20.26,"R,R,U,R,R,D"
maze,verifier_guided,64,15,0,1,21.08,"R,R,R,D,L,U,L,L,R"
maze,verifier_guided,64,16,0,1,18.82,"R,R,R,U,U,L,L,L,U,R,R,L,L"
maze,verifier_guided,64,17,0,1,20.75,"R,R,R,D,L,L,U,L,L,R,R"
maze,verifier_guided,64,18,0,1,20.49,"R,R,R,U,U,L,U,R,R"
maze,verifier_guided,64,19,0,1,20.04,"R,R,U,R,R,U"
