case,instance,scaffold,correct,valid,seconds,response_head
fold1_txt,0,bare,0,0,0.96,"(3,4);(3,5)"
fold1_txt,0,self_consist,0,0,1.09,"(1,4);(2,4)"
fold1_txt,0,verifier_guided,0,0,3.13,"(row=3,col=4);(col=3)"
fold1_txt,0,whiteboard,0,1,0.33,"(3,2);(4,2)"
fold1_txt,1,bare,0,1,0.34,"(2,1);(2,2)"
fold1_txt,1,self_consist,0,1,0.84,"(1,2);(2,2)"
fold1_txt,1,verifier_guided,1,1,3.71,"(1,1);(2,1)"
fold1_txt,1,whiteboard,0,1,0.34,"(2,1);(3,1)"
fold1_txt,2,bare,0,1,0.33,"(2,1);(2,2)"
fold1_txt,2,self_consist,0,0,1.5,"(row=0, col=1);(row=1, col=1);(row=2, col=1);(row=3, col=1)"
fold1_txt,2,verifier_guided,1,1,0.23,"(1,1);(2,1)"
fold1_txt,2,whiteboard,0,1,0.36,"(2,1);(3,1)"
