case,instance,scaffold,correct,valid,seconds,response_head
fold1_txt,0,bare,0,0,1.26,"(3,4);(3,5)"
fold1_txt,0,self_consist,0,1,1.6,"(3,2)"
fold1_txt,0,verifier_guided,0,1,14.12,"(3,2)"
fold1_txt,0,whiteboard,0,1,0.36,"(3,2);(4,2)"
fold1_txt,1,bare,0,1,0.34,"(2,1);(2,2)"
fold1_txt,1,self_consist,0,0,1.68,"(1,4);(2,4)"
fold1_txt,1,verifier_guided,1,1,0.23,"(1,1);(2,1)"
fold1_txt,1,whiteboard,0,1,0.35,"(2,1);(3,1)"
fold1_txt,2,bare,0,1,0.25,"(2,1);(2,2)"
fold1_txt,2,self_consist,0,0,1.99,"(row=1, col=4);(row=0, col=4)"
fold1_txt,2,verifier_guided,1,1,5.05,"(1,1);(2,1)"
fold1_txt,2,whiteboard,0,1,0.35,"(2,1);(3,1)"
fold1_txt,3,bare,0,1,0.26,"(2,2)"
fold1_txt,3,self_consist,0,0,2.15,"(2,4);(2,5)"
fold1_txt,3,verifier_guided,1,1,4.68,"(1,2);(2,2)"
fold1_txt,3,whiteboard,0,1,0.35,"(2,1);(3,1)"
fold1_txt,4,bare,0,1,0.44,"(3,0);(3,1);(3,2);(3,3)"
fold1_txt,4,self_consist,0,1,1.89,"(3,0)"
fold1_txt,4,verifier_guided,0,1,15.92,"(1,1);(1,2);(1,3);(1,4)"
fold1_txt,4,whiteboard,0,1,0.35,"(3,0);(2,1)"
fold1_txt,5,bare,0,1,0.38,"(2,3);(3,3)"
fold1_txt,5,self_consist,0,1,1.48,"(2,3)"
fold1_txt,5,verifier_guided,0,0,14.85,"(2,4);(3,4)"
fold1_txt,5,whiteboard,0,1,0.35,"(2,3);(1,4)"
fold1_txt,6,bare,0,0,0.5,"(row=1, col=3);(row=2, col=3)"
fold1_txt,6,self_consist,0,0,2.0,"(row=0, col=1);(row=2, col=1)"
fold1_txt,6,verifier_guided,0,1,16.22,"(3,3)"
fold1_txt,6,whiteboard,0,1,0.36,"(3,2);(3,1)"
fold1_txt,7,bare,0,0,0.37,"(1,4);(2,4)"
fold1_txt,7,self_consist,0,0,2.01,"(1,4);(2,4);(3,4);(4,4)"
fold1_txt,7,verifier_guided,1,1,3.89,"(1,1);(1,2)"
fold1_txt,7,whiteboard,0,1,0.35,"(1,2);(2,2)"
fold1_txt,8,bare,0,1,0.34,"(3,1);(4,1)"
fold1_txt,8,self_consist,0,0,1.98,"(1,4);(2,4)"
fold1_txt,8,verifier_guided,0,1,16.78,"(3,1);(3,2);(3,3)"
fold1_txt,8,whiteboard,0,1,0.33,"(3,1);(2,1)"
fold1_txt,9,bare,0,1,0.32,"(2,3);(3,3)"
fold1_txt,9,self_consist,0,0,1.68,"(3,4);(3,5)"
fold1_txt,9,verifier_guided,0,1,12.93,"(2, 3)"
fold1_txt,9,whiteboard,0,1,0.35,"(2,3);(1,4)"
fold1_txt,10,bare,0,1,0.27,"(3,2)"
fold1_txt,10,self_consist,0,0,2.33,"(row=0, col=2);(row=4, col=2)"
fold1_txt,10,verifier_guided,0,0,16.32,"(row=2, col=1);(row=2, col=3);(row=3, col=0)"
fold1_txt,10,whiteboard,0,1,0.34,"(3,2);(1,2)"
fold1_txt,11,bare,0,0,0.32,"(3,4);(3,5)"
fold1_txt,11,self_consist,0,1,1.49,"(3,3)"
fold1_txt,11,verifier_guided,0,0,14.65,"(1,4);(1,5)"
fold1_txt,11,whiteboard,0,1,0.32,"(3,2);(3,1)"
fold1_txt,12,bare,0,0,0.3,"(2,4);(3,4)"
fold1_txt,12,self_consist,0,1,1.63,"(1,1);(2,1)"
fold1_txt,12,verifier_guided,1,1,0.41,"(2,2);(2,1)"
fold1_txt,12,whiteboard,0,1,0.34,"(2,1);(3,1)"
fold1_txt,13,bare,0,0,0.22,"(2,4);(3,4)"
fold1_txt,13,self_consist,0,0,1.74,"(1,4);(2,4)"
fold1_txt,13,verifier_guided,1,1,2.45,"(2,1);(2,2)"
fold1_txt,13,whiteboard,0,1,0.33,"(2,1);(3,1)"
fold1_txt,14,bare,0,1,0.26,"(2,3)"
fold1_txt,14,self_consist,0,0,1.87,"(2,4);(3,4)"
fold1_txt,14,verifier_guided,1,1,4.94,"(1,3);(2,3)"
fold1_txt,14,whiteboard,1,1,0.35,"(2,3);(1,3)"
fold1_txt,15,bare,0,1,0.25,"(2,0)"
fold1_txt,15,self_consist,0,1,1.68,"(1,2);(2,0)"
fold1_txt,15,verifier_guided,1,1,0.8,"(1,0);(2,0)"
fold1_txt,15,whiteboard,1,1,0.35,"(2,0);(1,0)"
fold1_txt,16,bare,0,0,0.34,"(3,4);(3,5)"
fold1_txt,16,self_consist,0,0,2.09,"(3,4);(3,5);(3,6);(3,7)"
fold1_txt,16,verifier_guided,0,1,15.08,"(0,3);(1,3)"
fold1_txt,16,whiteboard,0,1,0.34,"(3,2);(3,1)"
fold1_txt,17,bare,0,0,0.31,"(2,4);(3,4)"
fold1_txt,17,self_consist,0,1,1.72,"(2,4);(2,3)"
fold1_txt,17,verifier_guided,1,1,6.73,"(2,1);(2,2)"
fold1_txt,17,whiteboard,0,1,0.34,"(2,1);(3,1)"
fold1_txt,18,bare,0,1,0.34,"(2,1);(2,2)"
fold1_txt,18,self_consist,0,1,1.76,"(2,1);(2,2)"
fold1_txt,18,verifier_guided,1,1,0.62,"(1,1);(2,1)"
fold1_txt,18,whiteboard,0,1,0.35,"(2,1);(3,1)"
fold1_txt,19,bare,0,1,0.26,"(2,1);(2,2)"
fold1_txt,19,self_consist,0,0,2.09,"(row=3, col=1);(row=4, col=1)"
fold1_txt,19,verifier_guided,1,1,6.79,"(1,1);(2,1)"
fold1_txt,19,whiteboard,0,1,0.33,"(2,1);(3,1)"
