task,scaffold,K,instance,correct,valid,seconds,response_head
fold2,verifier_guided,1,0,0,1,4.12,"(3,0);(3,1);(3,2);(3,3)"
fold2,verifier_guided,1,1,0,1,0.65,"(2,2);(2,2)"
fold2,verifier_guided,1,2,0,1,0.59,"(2,2);(2,2,4);(2,6);(2,8)"
fold2,verifier_guided,1,3,0,1,0.41,"(2,3)"
fold2,verifier_guided,1,4,0,1,0.5,"(3,1);(3,2)"
fold2,verifier_guided,1,5,0,1,0.81,"(0,2);(1,2);(2,2);(3,2)"
fold2,verifier_guided,1,6,0,1,0.53,"(3,3)"
fold2,verifier_guided,1,7,0,1,0.83,"(2,0);(2,1);(2,2);(2,3)"
fold2,verifier_guided,1,8,0,1,0.64,"(3,1);(3,2)"
fold2,verifier_guided,1,9,0,1,0.73,"(3,2);(3,0);(3,-1)"
fold2,verifier_guided,1,10,0,1,0.54,"(3,3)"
fold2,verifier_guided,1,11,0,1,0.84,"(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,1,12,0,1,0.72,"(0,2);(1,2);(2,2);(3,2)"
fold2,verifier_guided,1,13,0,1,0.34,"(3,2);(3,2)"
fold2,verifier_guided,1,14,0,1,0.52,"(2,3)"
fold2,verifier_guided,1,15,0,1,0.52,"(2,2);(2,2)"
fold2,verifier_guided,1,16,0,1,0.72,"(1,3);(2,3);(3,3)"
fold2,verifier_guided,1,17,0,1,0.51,"(1,2);(3,2)"
fold2,verifier_guided,1,18,0,1,0.64,"(2,2);(2,2)"
fold2,verifier_guided,1,19,0,1,0.34,"(2,2);(2,2)"
fold2,verifier_guided,4,0,0,1,2.0,"(1,3);(2,3);(3,3)"
fold2,verifier_guided,4,1,0,1,1.62,"(0,2);(1,2);(2,2);(3,2)"
fold2,verifier_guided,4,2,0,1,1.19,"(2,2);(2,2)"
fold2,verifier_guided,4,3,0,1,0.99,"(2,3)"
fold2,verifier_guided,4,4,0,1,1.56,"(0,2);(1,2);(2,2);(3,2)"
fold2,verifier_guided,4,5,0,1,2.23,"(3,2);(3,0);(1,2);(1,0)"
fold2,verifier_guided,4,6,0,1,1.05,"(3,3)"
fold2,verifier_guided,4,7,0,1,1.87,"(2,0);(2,1);(2,2);(2,3)"
fold2,verifier_guided,4,8,0,1,1.58,"(3,1);(3,2)"
fold2,verifier_guided,4,9,0,1,1.81,"(1,2);(2,2);(3,2)"
fold2,verifier_guided,4,10,0,1,1.05,"(3,3)"
fold2,verifier_guided,4,11,0,1,1.92,"(1,3);(2,3);(3,3)"
fold2,verifier_guided,4,12,0,1,1.89,"(1,2);(2,2);(3,2)"
fold2,verifier_guided,4,13,0,1,1.75,"(3,2);(3,0);(3,-1)"
fold2,verifier_guided,4,14,0,1,1.12,"(2,3)"
fold2,verifier_guided,4,15,0,1,1.29,"(2,2);(2,2)"
fold2,verifier_guided,4,16,0,1,2.08,"(1,3);(2,3);(3,3)"
fold2,verifier_guided,4,17,0,1,1.95,"(3,0);(3,1);(3,2);(3,3)"
fold2,verifier_guided,4,18,0,1,1.48,"(2,2);(2,2)"
fold2,verifier_guided,4,19,0,1,1.17,"(2,2);(2,2)"
