case,instance,scaffold,correct,valid,seconds,response_head
maze_txt,0,bare,0,1,0.94,"U,L,L,U,U,U,U,R,R,U,U,U"
maze_txt,0,self_consist,0,1,0.78,"U,L,U,U,D,D"
maze_txt,0,verifier_guided,1,1,0.99,"D,D,R,R,U,Up,Right,Right,Down,Left,Left,Down,Right,Down,Left,Left,Up,Up,Right,Right,Down,Left,Left,Up,Up,Right,Right,Down,Left,Left,Up,Up,Right,Right"
maze_txt,0,whiteboard,0,1,12.48,"python S = 'S', G = 'G' maze = ['#####\n','#S#.#\n#.#.#\n#..G#\n####'] fold_seq = [1, 2] punch_pos = (3, 4) moves = [] for i in range(len(maze)): ⏎     if maze[i][punch_pos[0]] == '.': ⏎         moves.app"
maze_txt,1,bare,0,1,0.41,"U,L,L,U,U,U,U,R,R,U,U,U,U,L,L,L,L"
maze_txt,1,self_consist,0,1,3.61,"U,D,L,U,R"
maze_txt,1,verifier_guided,0,1,5.82,"U,D,U,U,U,L,L,L"
maze_txt,1,whiteboard,0,1,12.33,python S#########D###U####R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###
maze_txt,2,bare,0,1,0.35,"U,L,L,U,U,U,U,R,R,U,U,U"
maze_txt,2,self_consist,0,1,0.69,"U,D,L,U,R"
maze_txt,2,verifier_guided,1,1,3.41,"D,D,R,R,U,UR,DR,UL,LU,DL,L,LR,RL,RR,DD,LD,DL,LR,UD,DU,LU,DD,DR,LL,RR,LD,UL,DD,LR,DD,UL,RR,RR,DR,LR,RL,UL,RR,LD,UR,LL,LU,RR,LR,LL,RL,LU,RR,RR,UL,DD,LD,DL,LR,UD,DU,LU,DD,DR,LL,RL,RL,RR,RR,LR,UL,RR,LR,LL"
maze_txt,2,whiteboard,0,1,12.37,"python S = 'S', G = 'G' maze = ['#####\n','#S#.#\n#.#.#\n#..G#\n####'] fold_seq = [1, 2] punch_pos = (3, 4) moves = [] for i in range(len(maze)): ⏎     if maze[i][punch_pos[0]] == '.': ⏎         moves.app"
