case,instance,scaffold,correct,seconds,response_head
maze_img,0,bare,0,2.46,urdrdudrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_img,0,self_consist,0,0.85,urdlfudlrdlfudldlfdldlfdudllfd
maze_img,0,verifier_guided,0,1.75,urdrdudrdurduuurdurru
maze_img,0,whiteboard,0,0.14,
maze_img,1,bare,0,3.42,urdrdudrdudrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurdurrdurrdurrdurrdurrdurrd
maze_img,1,self_consist,0,1.24,urddrdrdrddurudurudrdugududdurudduurdududuguduruduguduudugududu
maze_img,1,verifier_guided,0,1.0,urddrdcurdcdurduurugddd
maze_img,1,whiteboard,0,0.24," ⏎  [ 'U', 'D', 'L', 'R' ]"
maze_img,2,bare,0,3.39,urdrdudrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_img,2,self_consist,0,0.38," U,D,L,R"
maze_img,2,verifier_guided,0,3.11,urdrdurldrurdurudurdururdurururdururdururdururdururdururdururdururdururdururdururdururdururdururdururdurdururdururdururdururdururdururdururdururdururdururdururd
maze_img,2,whiteboard,0,0.24," ⏎  [ 'U', 'D', 'L', 'R' ]"
maze_img,3,bare,0,3.34,urdrdudrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_img,3,self_consist,0,2.14,ursrllrdurudruur
maze_img,3,verifier_guided,0,1.24,urdd
maze_img,3,whiteboard,0,0.24," ⏎  [ 'U', 'D', 'L', 'R' ]"
maze_img,4,bare,0,2.32,urdrdudrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_img,4,self_consist,0,0.71,"urddrdlrdr,udlrdrruldl,urrdlrdl,urrdlrdl"
maze_img,4,verifier_guided,0,1.02,ursdrdrurldbrrrdbrludbrrdbrl
maze_img,4,whiteboard,0,0.24," ⏎  [ 'U', 'D', 'L', 'R' ]"
maze_txt,0,bare,0,2.08,urdrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurrdurr
maze_txt,0,self_consist,0,0.56,urddurruururdgugggurduurdrduguduguduguduguggurugugugrugug
maze_txt,0,verifier_guided,0,2.02,urdrdlrdr
