task,scaffold,K,instance,correct,valid,seconds,response_head
maze,verifier_guided,1,0,0,1,1.73,"U,D,R,R,U"
maze,verifier_guided,1,1,0,1,0.26,"D,D,R,R,U,R"
maze,verifier_guided,1,2,0,1,0.25,"U,D,R,U,D,R"
maze,verifier_guided,1,3,0,1,0.28,"U,D,U,U,D,D,L,L"
maze,verifier_guided,1,4,0,1,0.16,"U,D,L,L,D"
maze,verifier_guided,1,5,0,1,0.29,"R,U,U,U,D,U,U,R,L"
maze,verifier_guided,1,6,0,1,0.24,"R,U,L,U,R"
maze,verifier_guided,1,7,0,1,0.19,"U,L,L,U,U,U,U"
maze,verifier_guided,1,8,0,1,0.16,"R,U,L,U,R"
maze,verifier_guided,1,9,0,1,0.24,"U,D,L,R,U"
maze,verifier_guided,1,10,0,1,0.24,"R,U,U,U,D"
maze,verifier_guided,1,11,0,1,0.23,"U,D,L,U"
maze,verifier_guided,1,12,0,1,0.16,"U,D,L,L,U"
maze,verifier_guided,1,13,0,1,0.29,"R,R,U,U,U,U,L,L,L"
maze,verifier_guided,1,14,0,1,0.3,"U,D,L,L,U,U,U,D,L"
maze,verifier_guided,1,15,0,1,0.32,"U,L,L,U,U,U,U,D,L,U,U"
maze,verifier_guided,1,16,0,1,0.26,"U,D,L,L,U,U,U,U,D,L,U,U,U"
maze,verifier_guided,1,17,0,1,0.27,"U,L,D,U,R,D,U"
maze,verifier_guided,1,18,0,1,0.26,"R,R,U,U,L,L"
maze,verifier_guided,1,19,0,1,0.28,"D,D,R,U,R,U,U,L,L"
maze,verifier_guided,4,0,0,1,0.63,"D,L,L,U,U,U"
maze,verifier_guided,4,1,0,1,1.25,"U,L,U,U,D,D"
maze,verifier_guided,4,2,0,1,0.73,"U,D,L,U,R"
maze,verifier_guided,4,3,0,1,1.31,"D,L,L,U,U"
maze,verifier_guided,4,4,0,1,3.53,"U,D,L,L,U"
maze,verifier_guided,4,5,0,1,2.13,"D,L,L,U,U,U,U,L,L"
maze,verifier_guided,4,6,0,1,0.92,"R,R,U,U,L,L,L"
maze,verifier_guided,4,7,0,1,0.66,"D,R,U,U,U,U,L,L,L"
maze,verifier_guided,4,8,0,1,0.72,"R,U,U,U,R,D,D,U,U,L,R,U"
maze,verifier_guided,4,9,0,1,0.68,"R,L,U,U,U,D"
