case,instance,scaffold,correct,valid,seconds,response_head
maze_txt,0,bare,0,1,0.88,"U,D,L,L,U,U,U,U"
maze_txt,0,self_consist,0,1,3.59,"U,D,R,Right,Up,Left,Down,Right,Right,Left,Up,Right,Up,Left,Down,Right,Right,Up,Left,Up,Right,Right,Down,Left,Up,Right,Right,Down,Left,Up,Right,Right,Down,Left,Up,Right,Right,Down,Left,Up,Right,Right,D"
maze_txt,0,verifier_guided,0,1,2.79,"D,L,U,U,U"
maze_txt,0,whiteboard,0,1,7.87,"python ⏎ import itertools ⏎  ⏎ def find_path(maze): ⏎     start = maze.index('S') ⏎     end = maze.index('G') ⏎  ⏎     moves = [] ⏎     directions = [(0, 1), (1, 0), (-1, 0), (0, -1)] ⏎  ⏎     for i in range(len(maze)): ⏎ "
maze_txt,1,bare,0,1,0.31,"U,D,L,L,U,U,U,U"
maze_txt,1,self_consist,0,1,0.74,"R,U,U,U,L,L,L"
maze_txt,1,verifier_guided,0,1,3.26,"D,L,U,U,U"
maze_txt,1,whiteboard,0,1,15.18,"U,R,U,U,D,U,U,L,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,R,U,U,"
maze_txt,2,bare,0,1,0.31,"U,D,L,L,U,U,U,U"
maze_txt,2,self_consist,0,1,0.75,"R,U,U,D,U,U,L,U,U,L"
maze_txt,2,verifier_guided,0,1,3.54,"R,L,U,U,U,D"
maze_txt,2,whiteboard,0,1,9.58,The maze grid and start/goal positions are not provided in the prompt. Please provide them to proceed with the solution.
maze_txt,3,bare,0,1,0.22,"U,D,L,L,U,U,U,U"
maze_txt,3,self_consist,0,1,0.75,"U,D,U"
maze_txt,3,verifier_guided,0,1,5.35,"D,L,U,U"
maze_txt,3,whiteboard,0,1,8.11,"python ⏎ import re ⏎  ⏎ def find_path(maze): ⏎     start = maze.index('S') ⏎     goal = len(maze) * len(maze[0]) - 1 ⏎     moves = [] ⏎     while True: ⏎         if start == goal: ⏎             break ⏎         row, col ="
maze_txt,4,bare,0,1,0.23,"U,D,L,L,U,U,U,U"
maze_txt,4,self_consist,0,1,0.73,"R,U,U,U,L,L,L"
maze_txt,4,verifier_guided,0,1,5.6,"U,L,L,U,U,R,R"
maze_txt,4,whiteboard,0,1,7.09,"python ⏎  ⏎ start = ['###', '#S#', '###'] ⏎ end = ['###', 'G  ', '###'] ⏎  ⏎ def find_path(maze): ⏎     moves = [] ⏎     while maze != end: ⏎         if start[0] == maze[1]: ⏎             moves.append('R') ⏎             "
maze_txt,5,bare,0,1,0.22,"U,D,L,L,U,U,U,U"
maze_txt,5,self_consist,0,1,0.73,"U,D,L,U"
maze_txt,5,verifier_guided,0,1,6.6,"U,L,L,U,U,U,R,U"
maze_txt,5,whiteboard,0,1,7.6,python ⏎ import re ⏎  ⏎ def find_path(maze): ⏎     start = maze.index('S') ⏎     end = len(maze) - 1 ⏎     moves = [] ⏎      ⏎     while start != end: ⏎         if start % 3 == 0 and (start + 2) % 3 == 0: ⏎             m
maze_txt,6,bare,0,1,0.22,"U,D,L,L,U,U,U,U"
maze_txt,6,self_consist,0,1,0.84,"U,D,L,L,U,U"
maze_txt,6,verifier_guided,0,1,2.71,"R,U,L,L"
maze_txt,6,whiteboard,0,1,7.97,python ⏎  ⏎ def find_path(maze): ⏎     start = maze.index('S') ⏎     moves = [] ⏎     while True: ⏎         if start == 0 or start == len(maze) - 1 or start == len(maze[0]) - 1 or start == 2: ⏎             return m
maze_txt,7,bare,0,1,0.22,"U,D,L,L,U,U,U,U"
maze_txt,7,self_consist,0,1,0.72,"D,L,L,U,U,U,L,L"
maze_txt,7,verifier_guided,0,1,2.95,"D,L,D,U,L"
maze_txt,7,whiteboard,0,1,10.0,"python ⏎  ⏎ start = maze.index('S') ⏎ queue = [(start, (i, j))] ⏎ while queue: ⏎     i, j = queue.pop(0) ⏎     if maze[i][j] == 'G': ⏎         print(','.join([move for move, _ in moves])) ⏎         break ⏎     moves.ap"
maze_txt,8,bare,0,1,0.22,"U,D,L,L,U,U,U,U"
maze_txt,8,self_consist,0,1,0.73,"U,D,L,L,U,U,U,U,D,D"
maze_txt,8,verifier_guided,0,1,5.97,"U,D,L,L,U,U,U"
maze_txt,8,whiteboard,0,1,9.15,"python ⏎  ⏎ def find_path(maze): ⏎     start = maze.index('S') ⏎     goal = maze.index('G') ⏎      ⏎     if start == -1 or goal == -1: ⏎         return ""No path found"" ⏎      ⏎     moves = [] ⏎     while True: ⏎         if"
maze_txt,9,bare,0,1,0.22,"U,D,L,L,U,U,U,U"
maze_txt,9,self_consist,0,1,0.75,"R,U,U,U,L,L,L"
maze_txt,9,verifier_guided,0,1,5.7,"U,L,L,D,D,L"
maze_txt,9,whiteboard,0,1,7.56,"[Final Answer] ⏎ D,R,U,U,D ⏎  ⏎ Explanation: ⏎ Starting from the top-left corner ('S'), I move down to the bottom-right corner ('G')."
