task,scaffold,K,instance,correct,valid,seconds,response_head
fold1,verifier_guided,1,0,0,1,5.45,"(1,3);(3,2);(4,2)"
fold1,verifier_guided,1,1,0,1,1.55,"(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);(3,0);(3,1);(3,2);(3,3)"
fold1,verifier_guided,1,2,0,1,0.52,"(2,1);(3,1);(3,2);(4,2)"
fold1,verifier_guided,1,3,0,1,0.71,"(1,1);(1,2);(2,2);(3,2)"
fold1,verifier_guided,1,4,0,1,1.49,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3)"
fold1,verifier_guided,1,5,0,1,0.77,"(0,3);(1,4);(2,3);(3,2)"
fold1,verifier_guided,1,6,0,1,0.66,"(2,4);(3,3);(4,3)"
fold1,verifier_guided,1,7,0,1,0.76,"(0,2);(1,2);(2,2);(3,2)"
fold1,verifier_guided,1,8,0,1,1.66,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);(3,1)"
fold1,verifier_guided,1,9,0,1,1.56,"(0,1);(0,2);(0,3);(1,1);(1,2);(1,3);(2,1);(2,2);(2,3);(3,1);(3,2);(3,3)"
fold1,verifier_guided,1,10,0,1,0.55,"(3,2);(2,2)"
fold1,verifier_guided,1,11,0,1,1.35,"(0,1);(1,0);(1,1);(1,2);(1,3);(2,1);(3,0);(3,1);(3,2);(3,3)"
fold1,verifier_guided,1,12,0,1,1.49,"(0,0);(0,1);(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(3,0);(3,1);(3,2);(3,3)"
fold1,verifier_guided,1,13,0,1,0.52,"(0,1);(1,1);(2,2);(3,1)"
fold1,verifier_guided,1,14,0,1,0.65,"(1,3);(2,4);(3,3)"
fold1,verifier_guided,1,15,0,1,1.29,"(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(3,0);(3,1);(3,2)"
fold1,verifier_guided,1,16,0,0,0.76,"(0,4);(1,4);(2,4);(3,4)"
fold1,verifier_guided,1,17,0,1,0.71,"(0,1);(1,1);(2,2);(3,1)"
fold1,verifier_guided,1,18,0,1,0.77,"(0,3);(1,3);(2,3);(3,3)"
fold1,verifier_guided,1,19,0,1,0.23,"(2,1);"
fold1,verifier_guided,4,0,0,1,2.94,"(0,2);(1,2);(2,2);(3,2)"
fold1,verifier_guided,4,1,0,1,3.33,"(0,0);(0,1);(0,2);(0,3);(1,1);(2,1);(3,1);"
fold1,verifier_guided,4,2,0,1,1.63,"(2,1);"
fold1,verifier_guided,4,3,0,1,2.48,"(2,2);"
fold1,verifier_guided,4,4,0,1,3.76,"(1,4);(2,4);(2,3);(3,0);(3,1);(3,2);(4,0);(4,1);(4,2);(4,3)"
fold1,verifier_guided,4,5,0,1,2.06,"(1,2);(2,3);(2,4)"
fold1,verifier_guided,4,6,0,1,1.56,"(1,3);(2,3);(3,3)"
fold1,verifier_guided,4,7,0,1,1.95,"(1,2);(2,1);(2,2);"
fold1,verifier_guided,4,8,0,1,2.61,"(0,1);(1,1);(2,1);(3,1)"
fold1,verifier_guided,4,9,0,1,2.65,"(0,3);(1,3);(2,3);(3,3)"
fold1,verifier_guided,4,10,0,1,2.15,"(2,3);(1,3);(0,2);"
fold1,verifier_guided,4,11,0,1,2.33,"(0,2);(1,3);(2,3);(3,3);(3,2)"
fold1,verifier_guided,4,12,0,1,3.05,"(0,3);(1,3);(2,3);(3,3);"
fold1,verifier_guided,4,13,0,1,2.57,"(0,3);(1,3);(2,3);(3,3);(2,0);(2,1);(2,2)"
fold1,verifier_guided,4,14,0,1,2.83,"(1,3);(2,3);(3,3)"
fold1,verifier_guided,4,15,0,1,3.16,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,2);(1,3);(2,0);(3,0);(3,1);(3,2);(3,3)"
fold1,verifier_guided,4,16,0,0,2.73,"(1,4);(2,4);(3,4);(4,4)"
fold1,verifier_guided,4,17,0,1,2.86,"(0,2);(1,2);(2,2);(3,2)"
fold1,verifier_guided,4,18,0,1,3.6,"(2,1);"
fold1,verifier_guided,4,19,0,1,2.87,"(2,1);(3,1);(2,2);(3,2);"
fold1,verifier_guided,16,0,0,1,6.87,"(0,3);(1,3);(3,2);(4,2)"
fold1,verifier_guided,16,1,0,1,10.19,"(1,1);(2,1)(3,1);(4,1);"
fold1,verifier_guided,16,2,0,1,9.67,"(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);(3,0);(3,1);(3,2);(3,3)"
fold1,verifier_guided,16,3,0,1,9.39,"(1,3);(2,2);(2,3);(3,2);(3,3)"
fold1,verifier_guided,16,4,0,1,12.33,"(3,0);(4,0);"
fold1,verifier_guided,16,5,0,1,9.79,"(2,3);(3,3)"
fold1,verifier_guided,16,6,0,1,9.37,"(0,3);(1,3);(2,3);(3,3)"
fold1,verifier_guided,16,7,0,1,9.97,"(1,2);(1,3);(1,4);(2,2);"
fold1,verifier_guided,16,8,0,1,10.45,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3);(3,1)"
fold1,verifier_guided,16,9,0,1,7.92,"(0,0);(0,1);(0,2);(0,3);(1,1);(2,3);(3,1);(3,2);"
fold1,verifier_guided,16,10,0,1,8.51,"(2,3);(2,4);(3,2);(3,3);(3,4);(4,2);(4,3);(4,4)"
fold1,verifier_guided,16,11,0,1,9.1,"(0,2);(1,2);(2,2);(3,2)"
fold1,verifier_guided,16,12,0,1,9.69,"(0,2);(1,2);(2,2);(3,2)"
fold1,verifier_guided,16,13,0,1,10.44,"(2,2);"
fold1,verifier_guided,16,14,0,1,7.4,"(0,3);(1,3);(2,3);(3,3)"
fold1,verifier_guided,16,15,0,1,10.91,"(0,3);(1,3);(2,3);(3,3)"
fold1,verifier_guided,16,16,0,0,11.65,"(1,4);(2,4);(3,4)"
fold1,verifier_guided,16,17,0,1,11.51,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,3);(2,0);(2,1);(3,0);(3,1);(3,2)"
fold1,verifier_guided,16,18,0,1,11.86,"(2,1);(3,1)"
fold1,verifier_guided,16,19,0,1,9.92,"(1,0);(1,1);(1,2);(1,3);(2,1);(3,1)"
fold1,verifier_guided,64,0,0,1,37.57,"(0,3);(1,3);(2,3);(3,3)"
fold1,verifier_guided,64,1,0,1,43.32,"(0,1);(1,1);(2,1);(3,1)"
fold1,verifier_guided,64,2,1,1,17.22,"(2,1);(1,1);"
fold1,verifier_guided,64,3,1,1,22.0,"(1,2);(2,2)"
fold1,verifier_guided,64,4,0,1,44.13,"(3,0);"
fold1,verifier_guided,64,5,0,1,30.67,"(0,2);(1,3);(2,3);(3,3)"
fold1,verifier_guided,64,6,0,1,36.54,"(1,3);(2,3);(3,3)"
fold1,verifier_guided,64,7,0,1,40.64,"(1,2);(1,4);(2,2);"
fold1,verifier_guided,64,8,0,1,37.69,"(1,0);(1,1);(2,0);(2,1);"
fold1,verifier_guided,64,9,0,1,36.29,"(0,2);(1,2);(2,2);(3,2)"
fold1,verifier_guided,64,10,0,1,33.19,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,2);(1,3);(2,0);(2,1);(2,2);(2,3)"
fold1,verifier_guided,64,11,0,1,37.93,"(0,1);(1,1);(2,1);(3,1);(1,2);(2,2);(3,2);(0,3);(1,3);(2,3);(3,3)"
fold1,verifier_guided,64,12,0,1,39.56,"(2,2);"
fold1,verifier_guided,64,13,0,1,40.96,"(2,2);(1,3);(2,3);(0,3)"
fold1,verifier_guided,64,14,0,1,29.7,"(2,3)"
fold1,verifier_guided,64,15,0,1,47.45,"(2,0);(2,1);(2,2);(2,3)"
fold1,verifier_guided,64,16,0,1,34.49,"(1,3);(2,3);(3,3)"
fold1,verifier_guided,64,17,0,1,36.67,"(0,3);(1,3);(3,3)"
fold1,verifier_guided,64,18,1,1,34.84,"(2,1);(1,1);"
fold1,verifier_guided,64,19,0,1,43.78,"(1,1);(1,2);(1,3);(1,4);(2,1);(2,2);(2,3);(2,4);(3,1);(3,2);(3,3);(3,4)"
