task,scaffold,K,instance,correct,valid,seconds,response_head
fold1,verifier_guided,1,0,0,1,2.77,"(1, 1);(1, 3);(3, 1);(3, 3)"
fold1,verifier_guided,1,1,0,1,0.49,"(1,4);(2,3);(3,3);(4,2)"
fold1,verifier_guided,1,2,0,1,0.81,"(2,1);(0,1);(2,2);(0,2);(1,2);(3,2);(2,3);(0,3);(2,3);(1,3);(3,3)"
fold1,verifier_guided,1,3,0,1,0.4,"(1,2);(2,1);(3,2);(4,1)"
fold1,verifier_guided,1,4,0,1,0.53,"(0,0);(0,3);(1,1);(2,2);(3,0);(4,0)"
fold1,verifier_guided,1,5,0,1,0.67,"(2,4);(0,4);(3,4);(1,2);(2,3);(0,2);(3,0);(1,0);"
fold1,verifier_guided,1,6,0,1,0.44,"(2, 3);(1,3);(0,3);(0,2)"
fold1,verifier_guided,1,7,0,1,0.44,"(1,4);(2,2);(3,0);(4,0)"
fold1,verifier_guided,1,8,0,1,0.57,"(2,1);(3,1);(2,2);(3,2);(2,3);(3,3)"
fold1,verifier_guided,1,9,0,1,0.49,"(2, 3);(1, 3);(1, 2);(0, 2)"
fold1,verifier_guided,1,10,0,1,0.81,"(1,2);(2,2);(2,3);(3,2);(3,2);(4,3);(3,0);(3,1);(3,1);(4,0)"
fold1,verifier_guided,1,11,0,1,0.45,"(1,3);(2,3);(0,3);(3,3)"
fold1,verifier_guided,1,12,0,1,0.42,"(2,4);(3,2);(3,3);(2,1)"
fold1,verifier_guided,1,13,0,1,0.36,"(2,4);(3,2);(4,0);(0,0)"
fold1,verifier_guided,1,14,0,1,0.64,"(0, 0);(0, 2);(1, 2);(1, 4);(3, 2);(3, 4)"
fold1,verifier_guided,1,15,0,1,0.42,"(2,0);(2,3);(3,0);(3,3)"
fold1,verifier_guided,1,16,0,1,0.45,"(1,3);(2,3);(3,3);(4,3)"
fold1,verifier_guided,1,17,0,1,0.42,"(0,2);(0,4);(2,4);(2,2);"
fold1,verifier_guided,1,18,0,1,0.69,"(1,1);(1,3);(2,2);(2,4);(3,2);(3,4);(4,0);(4,1)"
fold1,verifier_guided,1,19,0,1,0.5,"(2,1);(2,2);(2,3);(3,1);(3,2);(3,3)"
fold1,verifier_guided,4,0,1,1,1.28,"(2,4);(1,4);(3,2);(3,1);"
fold1,verifier_guided,4,1,0,1,1.5,"(1,2);(2,2);(3,1);(4,1)"
fold1,verifier_guided,4,2,0,1,1.72,"(2,1);(2,3);(3,1);(3,3)"
fold1,verifier_guided,4,3,0,1,1.75,"(2,2);(0,2);(0,1);(2,1);(1,1)"
fold1,verifier_guided,4,4,0,1,1.84,"(1, 3);(3, 3);(2, 2);(4, 2)"
fold1,verifier_guided,4,5,0,1,1.61,"(2,3);(0,3);(0,2);(4,2);"
fold1,verifier_guided,4,6,0,1,1.59,"(1,4);(2,3);(3,3);(4,2)"
fold1,verifier_guided,4,7,0,0,2.74,"(1,4);(2,4);(3,4);(4,4)"
fold1,verifier_guided,4,8,0,0,1.67,"(0, 4);(1, 4);(2, 4);(3, 4)"
fold1,verifier_guided,4,9,0,1,1.57,"(2,3);(3,3);(0,3);(1,3)"
fold1,verifier_guided,4,10,0,1,1.52,"(1, 2);(2, 2);(3, 2);(3, 0)"
fold1,verifier_guided,4,11,0,1,1.47,"(1,3);(3,3);(2,0);(4,0)"
fold1,verifier_guided,4,12,0,1,1.48,"(2,2);(1,2);(1,4);(2,4)"
