K,instance,correct,valid,seconds,response_head
1,0,0,1,1.91,"(2,2)"
1,1,0,0,0.41,"(row=1, col=4);(row=1, col=5)"
1,2,0,1,0.23,"(1,4);(2,1)"
1,3,0,0,0.34,"(row=0, col=0);(col=1)"
1,4,0,0,0.61,"(row=0, col=1);(row=1, col=1);(row=2, col=0);(row=3, col=1)"
1,5,0,0,0.33,"(1,4);(2,4)"
1,6,0,0,0.4,"(row=3,col=4);(row=3,col=5)"
1,7,0,0,0.29,"(1, 4)"
1,8,0,1,0.33,"(3,3);(3,4)"
1,9,0,0,0.33,"(1,4);(2,4)"
1,10,0,0,0.34,"(2,4);(3,4)"
1,11,0,1,0.33,"(3,3);(4,3)"
1,12,0,0,0.29,"(2,4);(3,4)"
1,13,0,0,0.3,"(row=3, col=4);(col=3, row=3)"
1,14,0,0,0.36,"(row=2, col=4);(col=3)"
1,15,1,1,0.31,"(1,0);(2,0)"
1,16,0,0,0.33,"(2,4);(3,4)"
1,17,0,1,0.43,"(2,4);(1,3);(2,3);(3,3)"
1,18,0,0,0.42,"(row=3, col=4);(row=3, col=5)"
1,19,0,0,0.3,"(row=4, col=4);(row=3, col=3)"
4,0,0,0,1.12,"(1,4);(2,4);(3,4)"
4,1,0,0,1.14,"(2,4);(1,5)"
4,2,0,0,0.89,"(1,4);(2,5)"
4,3,1,1,0.31,"(1,2);(2,2)"
4,4,0,0,1.21,"(row=2, col=1);(row=3, col=1)"
4,5,0,1,1.1,"(2,4);(3,3)"
4,6,0,0,1.36,"(row=2,col=3);(row=3,col=3)"
4,7,0,0,0.99,"(row=4,col=2);(col=4,row=1)"
4,8,0,0,0.96,"(1, 4);(2, 4);(3, 4);(4, 4)"
4,9,0,0,0.93,"(2,4);(2,5)"
4,10,0,1,1.59,"(0,0);(1,0);(2,0);(3,0);(0,1);(1,1);(2,1);(3,1);(0,2);(1,2);(2,2);(3,2);(0,3)"
4,11,0,0,1.17,"(3,4);(4,4)"
4,12,0,0,1.03,"(0,4);(1,4)"
4,13,0,1,0.9,"(1,3);(2,3)"
4,14,1,1,1.03,"(1,3);(2,3)"
4,15,0,1,0.87,"(2,0)"
4,16,0,0,0.94,"(3,4);(3,5)"
4,17,0,1,0.97,"(3,0);(3,1)"
4,18,0,1,1.25,"(1,4);(1,3);(1,2);(1,1)"
4,19,0,0,1.27,"(row=3, col=4);(col=4)"
16,0,1,1,2.03,"(3,1);(3,2)"
16,1,1,1,0.9,"(1,1);(2,1)"
16,2,0,0,3.88,"(row=2, col=2);(row=3, col=2)"
16,3,0,1,3.9,"(2,2);(2,3)"
16,4,0,1,4.57,"(3,0);(2,1)"
16,5,0,0,3.45,"(3,4);(3,5)"
16,6,0,1,4.06,"(2,2);(3,2)"
16,7,0,0,3.78,"(row=3, col=3);(row=0, col=4)"
16,8,0,0,5.18,"(row=2, col=1);(row=3, col=1)"
16,9,0,1,4.02,"(2,3)"
16,10,0,0,4.3,"(row=2, col=2);(row=3, col=2)"
16,11,0,0,3.55,"(row=2, col=4);(row=3, col=3)"
16,12,0,0,3.22,"(2,4);(2,5)"
16,13,0,1,3.32,"(2,2);(3,2)"
16,14,0,1,3.69,"(0,3);(1,3);(2,3);(3,3)"
16,15,0,1,4.22,"(2,0)"
16,16,0,0,3.84,"(row=3, col=1);(row=3, col=4)"
16,17,0,1,3.71,"(2,2)"
16,18,0,0,3.83,"(row=1, col=4);(col=3)"
16,19,1,1,3.21,"(1,1);(2,1)"
128,0,0,1,29.51,"(3,3)"
128,1,1,1,4.64,"(1,1);(2,1)"
128,2,1,1,13.64,"(1,1);(2,1)"
128,3,1,1,2.91,"(1,2);(2,2)"
128,4,0,0,32.69,"(row=1, col=0); (row=2, col=0)"
128,5,0,1,28.42,"(1,3);(2,3)"
128,6,0,1,34.28,"(row=3, col=3); (3,3)"
128,7,1,1,10.09,"(1,1);(1,2)"
128,8,1,1,1.86,"(0,1);(3,1)"
128,9,0,0,28.94,"(2, 4);(3, 4)"
128,10,0,1,33.73,"(0,0);(1,0)"
128,11,0,0,32.34,"(3,4);(4,3)"
128,12,1,1,0.93,"(2,2);(2,1)"
128,13,1,1,16.8,"(2,1);(2,2)"
128,14,1,1,7.75,"(1,3);(2,3)"
128,15,1,1,4.66,"(2,0);(1,0)"
128,16,0,1,31.33,"(3,3);(4,3)"
128,17,1,1,19.71,"(2,1);(2,2)"
128,18,1,1,5.06,"(1,1);(2,1)"
128,19,1,1,3.63,"(1,1);(2,1)"
256,0,1,1,1.69,"(3,1);(3,2)"
256,1,1,1,1.37,"(1,1);(2,1)"
256,2,1,1,1.15,"(2,1);(1,1)"
256,3,1,1,4.04,"(1,2);(2,2)"
256,4,0,1,69.37,"(0,0);(1,0);(2,0);(3,0)"
256,5,0,1,58.28,"(1,2);(1,3)"
256,6,0,0,66.08,"(3,4)"
256,7,1,1,18.33,"(1,1);(1,2)"
256,8,1,1,23.25,"(0,1);(3,1)"
256,9,0,0,58.6,"(1,4);(2,4)"
256,10,0,1,64.18,"(3,2)"
256,11,0,0,2013.75,"(3,4);(3,5)"
256,12,1,1,1694.71,"(2,1);(2,2)"
256,13,1,1,106.28,"(2,1);(2,2)"
256,14,1,1,30.0,"(2,3);(1,3)"
256,15,1,1,7.48,"(1,0);(2,0)"
256,16,0,1,5087.89,"(row=1, col=2);(1,3)"
256,17,1,1,187.26,"(2,1);(2,2)"
256,18,1,1,724.18,"(1,1);(2,1)"
256,19,1,1,1.41,"(2,1);(1,1)"
