case,instance,scaffold,correct,valid,seconds,response_head
maze_txt,0,bare,0,1,0.94,"U,L,L,U,U,U,U,R,R,U,U,U"
maze_txt,0,self_consist,0,1,0.67,"D,D,R,U,U,L"
maze_txt,0,verifier_guided,0,1,5.38,"U,L,D"
maze_txt,0,whiteboard,0,1,12.49,"python S = 'S', G = 'G' maze = ['#####\n','#S#.#\n#.#.#\n#..G#\n####'] fold_seq = [1, 2] punch_pos = (3, 4) moves = [] for i in range(len(maze)): ⏎     if maze[i][punch_pos[0]] == '.': ⏎         moves.app"
maze_txt,1,bare,0,1,0.42,"U,L,L,U,U,U,U,R,R,U,U,U,U,L,L,L,L"
maze_txt,1,self_consist,0,1,0.69,"U,L,D,L,U,U,L,D"
maze_txt,1,verifier_guided,0,1,11.15,"R,L,U,U,U,Right"
maze_txt,1,whiteboard,0,1,12.38,python S#########D###U####R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###
maze_txt,2,bare,0,1,0.36,"U,L,L,U,U,U,U,R,R,U,U,U"
maze_txt,2,self_consist,0,1,0.76,"D,Up,L,Right"
maze_txt,2,verifier_guided,0,1,2.87,"U,D,L,U"
maze_txt,2,whiteboard,0,1,12.49,"python S = 'S', G = 'G' maze = ['#####\n','#S#.#\n#.#.#\n#..G#\n####'] fold_seq = [1, 2] punch_pos = (3, 4) moves = [] for i in range(len(maze)): ⏎     if maze[i][punch_pos[0]] == '.': ⏎         moves.app"
maze_txt,3,bare,0,1,0.42,"U,L,L,U,U,U,U,R,R,U,U,U,U,L,L,L,L"
maze_txt,3,self_consist,0,1,0.68,"U,D,U,U,U"
maze_txt,3,verifier_guided,0,1,2.77,"R,U,D,D,L"
maze_txt,3,whiteboard,0,1,12.39,python S#########D###U####R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###
maze_txt,4,bare,0,1,0.42,"U,L,L,U,U,U,U,R,R,U,U,U,U,L,L,L,L"
maze_txt,4,self_consist,0,1,0.73,"R,L,U,U,U"
maze_txt,4,verifier_guided,0,1,4.02,"D,Up,Right,Up,Down,Right,Down,Left,Up,Left,Right,Up,Down,Left,Up,Right,Down,Left,Up,Right,Down,Left,Up,Right,Down,Left,Up,Right,Down,Left,Up,Right,Down,Left,Up,Right,Down,Left,Up,Right,Down,Left,Up,Ri"
maze_txt,4,whiteboard,0,1,12.39,python S#########D###U####R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###
maze_txt,5,bare,0,1,0.36,"U,L,L,U,U,U,U,R,R,U,U,U"
maze_txt,5,self_consist,0,1,0.7,"R,L,U,U,U"
maze_txt,5,verifier_guided,0,1,3.68,"R,U,L,U,R,L,R,D,L,U"
maze_txt,5,whiteboard,0,1,12.52,"python S = 'S', G = 'G' maze = ['#####\n','#S#.#\n#.#.#\n#..G#\n####'] fold_seq = [1, 2] punch_pos = (3, 4) moves = [] for i in range(len(maze)): ⏎     if maze[i][punch_pos[0]] == '.': ⏎         moves.app"
maze_txt,6,bare,0,1,0.43,"U,L,L,U,U,U,U,R,R,U,U,U,U,L,L,L,L"
maze_txt,6,self_consist,0,1,0.79,"U,L,U,U,Right"
maze_txt,6,verifier_guided,0,1,8.57,"U,D,L,L,U,U,U,U,D,U,U,U,U,R,R"
maze_txt,6,whiteboard,0,1,12.37,python S#########D###U####R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###
maze_txt,7,bare,0,1,0.42,"U,L,L,U,U,U,U,R,R,U,U,U,U,L,L,L,L"
maze_txt,7,self_consist,0,1,0.63,"U,L,L,L,D"
maze_txt,7,verifier_guided,0,1,3.31,"U,D,R,U"
maze_txt,7,whiteboard,0,1,12.38,python S#########D###U####R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###
maze_txt,8,bare,0,1,0.42,"U,L,L,U,U,U,U,R,R,U,U,U,U,L,L,L,L"
maze_txt,8,self_consist,0,1,0.69,"U,R,U,U,L,L"
maze_txt,8,verifier_guided,0,1,9.96,"R,Down,U,Right"
maze_txt,8,whiteboard,0,1,12.4,python S#########D###U####R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###L###U####D###R###
maze_txt,9,bare,0,1,0.36,"U,L,L,U,U,U,U,R,R,U,U,U"
maze_txt,9,self_consist,0,1,0.69,"D,L,D,U,U,U"
maze_txt,9,verifier_guided,0,1,6.49,"D,L,L,D,R,R,R,U,U,R,U,UR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,DD,DR,RR,D"
maze_txt,9,whiteboard,0,1,12.52,"python S = 'S', G = 'G' maze = ['#####\n','#S#.#\n#.#.#\n#..G#\n####'] fold_seq = [1, 2] punch_pos = (3, 4) moves = [] for i in range(len(maze)): ⏎     if maze[i][punch_pos[0]] == '.': ⏎         moves.app"
