task,scaffold,K,instance,correct,valid,seconds,response_head
fold1,verifier_guided,1,0,0,1,2.91,"(3,2);(3,2)"
fold1,verifier_guided,1,1,0,1,0.78,"(0,1);(1,1);(2,1);(3,1)"
fold1,verifier_guided,1,2,0,1,0.21,"(2,1)"
fold1,verifier_guided,1,3,0,1,0.68,"(2,2);(2,3);(3,2);(3,3)"
fold1,verifier_guided,1,4,0,1,0.69,"(3,0);(3,1);(3,2);(3,3)"
fold1,verifier_guided,1,5,0,1,0.53,"(2,3);(2,3)"
fold1,verifier_guided,1,6,0,1,0.74,"(3,3);(4,3);(5,3);(6,3)"
fold1,verifier_guided,1,7,0,1,0.55,"(1,2);(1,2)"
fold1,verifier_guided,1,8,0,1,0.56,"(3,1);(3,1)"
fold1,verifier_guided,1,9,0,1,0.73,"(2,0);(2,1);(2,2);(2,3)"
fold1,verifier_guided,1,10,0,1,0.52,"(3,2);(3,2)"
fold1,verifier_guided,1,11,0,1,0.58,"(3,3);(3,3)"
fold1,verifier_guided,1,12,0,1,0.65,"(2,0);(2,1);(2,2);(2,3)"
fold1,verifier_guided,1,13,0,1,0.5,"(2,2);(2,0);(2,4);(2,8)"
fold1,verifier_guided,1,14,0,1,0.45,"(2,3)"
fold1,verifier_guided,1,15,0,1,0.7,"(0,0);(1,0);(2,0);(3,0)"
fold1,verifier_guided,1,16,0,1,0.54,"(3,3);(3,3)"
fold1,verifier_guided,1,17,0,1,0.66,"(2,0);(2,1);(2,2);(2,3)"
fold1,verifier_guided,1,18,0,1,0.45,"(2,1)"
fold1,verifier_guided,1,19,0,1,0.3,"(2,1);(2,1)"
fold1,verifier_guided,4,0,0,1,1.79,"(3,2);(3,2)"
fold1,verifier_guided,4,1,0,1,1.58,"(2,1);(2,2);(2,3)"
fold1,verifier_guided,4,2,0,1,1.32,"(2,1)"
fold1,verifier_guided,4,3,0,1,1.33,"(2,2);(2,2)"
fold1,verifier_guided,4,4,0,1,2.05,"(0,0);(1,0);(2,0);(3,0)"
fold1,verifier_guided,4,5,0,1,2.22,"(2,0);(2,1);(2,2);(2,3)"
fold1,verifier_guided,4,6,0,1,1.79,"(3,3);(4,4);(5,5);(6,6)"
